Title,Company,Location,Salary,Days,Summary
Sr Director - Data & Analytics,GE Healthcare,"Bengaluru, Karnataka",None,9 days ago,"Partner across organizations within data and analytics, engineering, architecture, and operations in developing frameworks strategy for all steps of data…"
Data Engineer,PayU,"Mumbai, Maharashtra",None,25 days ago,"Strong experience with data engineering practices (i.e. data ingestion pipelines and ETL).
Work closely with Data Engineers, ML Engineers and SREs to gather…"
Data Engineer,Enquero Inc,"Bengaluru, Karnataka",None,25 days ago,"2+ years of relevant experience in data analysis, reporting and business intelligence.
Follow standard practices and procedures in analyzing situations or data…"
Data Scientist,Lumiq,India,None,27 days ago,"You are able to scope and define data sets needed for specific use cases and identifying data gaps.
You have PhD or M Tech at least 2+ years of *relevant…"
Data Scientist,Netradyne,"Bengaluru, Karnataka",None,30+ days ago,"Perform data wrangling tasks such as acquiring, cleaning, structuring and enriching data.
Experience with data visualization and storytelling."
Data Scientist,Hookfish,"Mumbai, Maharashtra",None,30+ days ago,"We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver…"
Data Science Engineer,Mystro,"Mumbai, Maharashtra",None,30+ days ago,Building advanced ML models for statement processing and transaction data processing on top of existing technology stack for understanding Customers better and…
OCR Programmer,Integra Global Solutions,Remote,"₹7,00,000 - ₹15,00,000 a year",10 days ago,"Bachelor's degree in science and technology.
Apply knowledge of best practices in RPA, OCR data capture.
Knowledge in extracting data via Optical Character…"
Data Science,AdmyBrand,"Bengaluru, Karnataka",None,30+ days ago,"Extending company's data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for…"
Data Scientist,KhataBook,"Bengaluru, Karnataka",None,30+ days ago,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques."
"Cloud Customer Engineer Intern, Summer 2021",Google,"Bengaluru, Karnataka",None,6 days ago,"The Google Cloud Platform team helps customers transform and evolve their business through the use of Google’s global network, web-scale data centers and…"
"Manager Data Products, Data & Analytics, India – ED&A ICC",Nike,"Bengaluru, Karnataka",None,10 days ago,"Expert-level experience working with data and analytics products.
This will require working with technology and business teams and owning the prioritization of…"
MSSQL Data Science & R Analytics Programmer,Optidesk Solutions,"Bengaluru, Karnataka",None,30+ days ago,The role is targeted at candidates with 2 to 6years of experience in Database Programming / Data Science role with hands-on experience in MS SQL Server.
Data Science Specialist,Great Learning,"Gurgaon, Haryana",None,30+ days ago,Drive cross-pollination of ideas and knowledge with in-house data science team to deliver in-house solutions and translate them into learning material & case…
Data Scientist,Novartis,"Hyderabad, Telangana",None,18 days ago,"In predictive modeling and large data analysis.
Excellent quantitative skills and the ability to tell a story using data.
Imagine what you could do at Novartis!"
Senior Process Executive-Data,Cognizant,"Chennai, Tamil Nadu",None,9 days ago,"Record attendance and time sheet related data.
Resolve process related queries, expedite on data requests and escalate for resolutions."
Data Engineer (Talend/Bigdata),Palnar Transmedia,"Bengaluru, Karnataka",None,30+ days ago,"Experience in developing basic data science models using Python or a similar language.
Develop and deliver solutions with data streaming capabilities for large…"
Trade Apprentice Vacancy,Northern Coalfields Ltd,India,None,Today,"Name of the Post: CPCL Trade Apprentice Online Form 2020.
Post Date: 19-10-2020.
Brief Information: Chennai Petroleum Corporation Limited (CPCL) has given a…"
Data Engineer,Fundnel Pte Ltd,"Mumbai, Maharashtra",None,30+ days ago,"Maintain data warehouse architecture and relational databases.
Solve issues in the existing data pipelines and build their successors."
Member Algorithm/Analytics Data Science,Reliance Jio Infocomm Limited,"Mumbai, Maharashtra",None,6 days ago,"Create algorithms to correlate varied data and derive meaningful.
Sets business rules and data sources required to identify coverage."
Data Scientist II,Honeywell,"Bengaluru, Karnataka",None,10 days ago,"Develop data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs and recommend innovative solutions."
Data Analytics Internship,Protiviti Consulting,"Mumbai, Maharashtra","₹15,000 a month",5 days ago,"Should have worked in internal audit or data analytics role.
Interpret the data and analyze results using statistical techniques 2."
Data Science - Gurgaon,WNS Global Services Private Limited,"Ghaziabad, Uttar Pradesh",None,27 days ago,"Implement, test and validate new algorithms in a way that can be used by the data science team.
Extract, combine and clean data from several sources for model…"
Data Engineer,Zoom,"Bengaluru, Karnataka",None,30+ days ago,"Build data expertise and own data quality for the pipelines you create.
Own and optimize Zoom’s data architecture to address the data needs of our rapidly…"
DATA SCIENTIST,Alpha ICT LLP,"Pune, Maharashtra",None,30+ days ago,"Identifying additional data to be collected and third-party data sources that will help the analysis.
Experience using statistical computer languages (R, Python…"
"Engineering Manager, Data & Analytics, India – ED&A ICC",Nike,"Bengaluru, Karnataka",None,10 days ago,"Experience working with data compute technologies like EMR, Data Bricks etc.
Experience architecting and building data products using batch and streaming…"
Core Computer Science – Research Engineers – CGPA > 8,CareerXperts,"Bengaluru, Karnataka",None,30+ days ago,"Hands-on skills in cleaning, manipulating, analyzing, visualizing and modeling large data sets.
You will solve the most challenging problems belonging to…"
DA MENA - Staff,EY,"Kochi, Kerala",None,11 days ago,The role of the associate is to carry out controls-based data transformation and analytics tasks to deliver insights for the Assurance MENA clients.
GIS Analyst,WRI India,"New Delhi, Delhi","₹6,00,000 - ₹7,50,000 a year",4 days ago,"Develop data visualization dashboards, interactive web-maps, storyboards that help in communicating complex data and insights into captivating visual outputs."
Manager - Decision Science,Ola Cabs,India,None,17 days ago,Are you someone who understands the intricacies of balancing the art and science of applying machine learning and business analytics to consumer lending?
Mindshare | Partner - Data and Technology,Mindshare,"Mumbai, Maharashtra",None,4 days ago,"Designing data science-led solutions, specifically for the CRM marketing area.
You should be able to design a complete marketing solution, utilizing data…"
Jr. Data scientist,Blackstraw,"Chennai, Tamil Nadu",None,30+ days ago,"Define and develop, maintain and evolve data models, tools and capabilities.
Minimum of 1 to 3 years of experience in a related position, as a data scientist or…"
Data Scientist,GridEdge Technologies,"Pune, Maharashtra",None,30+ days ago,"Extending company’s data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for…"
